led_id,row,col,brightness,r,g,b,interpolated,detection_method,measurement_method
1,0,0,197.50352066115704,142.68595041322314,220.30578512396696,223.86776859504133,False,grid,direct
2,0,1,183.62138016528925,124.17355371900827,208.19834710743802,212.9917355371901,False,grid,direct
3,0,2,169.72170247933886,101.68595041322314,197.91735537190084,202.98347107438016,False,grid,direct
4,0,3,169.59542148760332,104.07438016528926,196.7520661157025,201.61157024793388,False,grid,direct
5,0,4,167.66301652892562,103.11570247933884,194.54545454545453,198.53719008264463,False,grid,direct
6,0,5,171.75614049586775,108.91735537190083,197.88429752066116,202.03305785123968,False,grid,direct
7,0,6,171.08510743801654,107.13223140495867,197.51239669421489,202.74380165289256,False,grid,direct
8,0,7,178.0069504132231,113.3305785123967,204.92561983471074,209.03305785123968,False,grid,direct
9,0,8,175.46454545454543,112.36363636363636,201.6198347107438,206.28925619834712,False,grid,direct
10,0,9,146.16441322314049,85.28099173553719,171.23140495867767,176.77685950413223,False,grid,direct
11,0,10,103.4717520661157,53.70247933884298,123.60330578512396,130.34710743801654,False,grid,direct
12,0,11,57.34727272727272,27.06611570247934,69.21487603305785,75.66115702479338,False,grid,direct
13,0,12,52.863512396694205,20.93388429752066,65.50413223140495,71.52066115702479,False,grid,direct
14,0,13,121.77647107438017,73.75206611570248,141.3801652892562,146.79338842975207,False,grid,direct
15,0,14,139.42295867768595,83.09917355371901,162.58677685950414,167.87603305785123,False,grid,direct
16,0,15,86.51844628099172,37.00826446280992,106.9090909090909,111.3801652892562,False,grid,direct
17,0,16,50.7715041322314,15.900826446280991,65.27272727272727,67.56198347107438,False,grid,direct
18,0,17,55.462173553719005,17.818181818181817,70.43801652892562,77.08264462809917,False,grid,direct
19,0,18,59.55352066115703,22.024793388429753,74.5702479338843,80.66115702479338,False,grid,direct
20,0,19,67.76414049586776,18.297520661157026,88.07438016528926,92.92561983471074,False,grid,direct
21,0,20,80.50228925619832,32.54545454545455,100.35537190082644,104.05785123966942,False,grid,direct
22,0,21,171.92140495867767,113.76859504132231,195.76859504132233,201.65289256198346,False,grid,direct
23,0,22,193.15119834710742,132.27272727272728,218.26446280991735,223.51239669421489,False,grid,direct
24,0,23,185.4167685950413,120.10743801652893,212.41322314049586,217.70247933884298,False,grid,direct
25,0,24,188.98251239669423,123.1900826446281,216.31404958677686,220.8099173553719,False,grid,direct
26,0,25,187.58339669421488,121.80165289256199,214.8512396694215,219.71074380165288,False,grid,direct
27,0,26,161.2824462809917,89.67768595041322,191.01652892561984,195.98347107438016,False,grid,direct
28,0,27,181.89661157024793,119.18181818181819,207.72727272727272,213.3801652892562,False,grid,direct
29,0,28,174.94231404958677,108.51239669421487,202.28099173553719,208.40495867768595,False,grid,direct
30,0,29,167.74803305785125,101.98347107438016,194.9090909090909,200.3801652892562,False,grid,direct
31,0,30,171.41456198347106,108.19834710743801,197.58677685950414,202.45454545454547,False,grid,direct
32,0,31,109.8470082644628,64.59504132231405,127.75206611570248,136.3388429752066,False,grid,direct
33,1,0,182.90195867768594,107.33884297520662,214.68595041322314,217.4297520661157,False,grid,direct
34,1,1,176.72797520661157,103.6198347107438,207.3801652892562,210.64462809917356,False,grid,direct
35,1,2,157.51762809917355,79.81818181818181,189.9090909090909,194.5206611570248,False,grid,direct
36,1,3,154.49207438016526,74.29752066115702,188.0082644628099,192.2479338842975,False,grid,direct
37,1,4,163.0770247933884,86.88429752066116,194.96694214876032,198.71074380165288,False,grid,direct
38,1,5,159.50205785123967,80.62809917355372,192.30578512396696,197.46280991735537,False,grid,direct
39,1,6,160.13555371900827,82.83471074380165,192.25619834710744,197.48760330578511,False,grid,direct
